Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Desc_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antig_Edif,Estado_Edif,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_mov_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,Precio_m2,Barrio
49000,92857,Sarmiento,1169,PB,https://departamento.mercadolibre.com.ar/MLA-1735372111-venta-depto-2-amb-zona-obelisco-apto-credito-y-profes-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,2,1,1,0,Bueno,62,Interno,Sur,0,0,0,0,0,30.0,30.0,0,49000,92857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633.33,San Nicolás
62000,120000,Beruti,2877,3.0,https://departamento.mercadolibre.com.ar/MLA-3153577634-departamento-2-ambientes-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,2,1,1,0,Bueno,76,Frente,Sur,0,0,0,0,0,25.0,25.0,0,62000,120000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2480.0,Recoleta
50000,0,Yerbal,600,PB,https://departamento.mercadolibre.com.ar/MLA-1736334249-dos-ambientes-con-patio-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
100000,245000,Charcas,2900,PB,https://departamento.mercadolibre.com.ar/MLA-1736382783-venta-apto-credito-dpto-3-ambientes-c-baulera-recoleta-excelente-ubicacion-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,3,2,1,0,Bueno,46,Nan,Nan,0,0,0,0,0,44.0,44.0,0,100000,245000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2272.73,Recoleta
58900,0,Av La Plata,300,PB,https://departamento.mercadolibre.com.ar/MLA-3159440938-departamento-en-venta-caballito-con-patio-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,58900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Caballito
65000,0,La Pampa,2500,PB,https://departamento.mercadolibre.com.ar/MLA-3154243030-venta-departamento-2-ambientes-apto-credito-belgrano-r-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,0,0,0,0,Bueno,0,Nan,Nan,0,0,0,0,0,,,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Belgrano R
89000,90000,Alejandro Magariños Cervantes,1900,PB,https://departamento.mercadolibre.com.ar/MLA-1735699093-venta-departamento-dos-ambientes-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,2,1,1,0,Bueno,6,Contrafrente,Norte,0,0,0,0,0,40.0,54.0,0,89000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1648.15,Villa Gral. Mitre
68000,170000,Virrey Loreto Al,2500,4.0,https://departamento.mercadolibre.com.ar/MLA-1736216919-venta-departamento-1-dormitorio-en-belgrano-con-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,1,1,1,0,Bueno,25,Contrafrente,Norte,0,0,0,0,0,32.0,32.0,0,68000,170000,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2125.0,Belgrano
80000,250000,Aguirre,50,7.0,https://departamento.mercadolibre.com.ar/MLA-1737984245-aguirre-50-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,3,2,1,0,A refaccionar,51,Frente,Este,0,0,0,0,0,44.0,45.0,0,80000,250000,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777.78,Villa Crespo
99900,200000,Humberto Primo,986,6.0,https://departamento.mercadolibre.com.ar/MLA-1736315729-venta-departamento-4-ambientes-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,4,3,1,0,Bueno,30,Frente,Norte,0,0,0,0,0,72.0,72.0,0,99900,200000,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1387.5,San Telmo
