Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio,calle_norm,Altura_num,Comuna,Barrio,lat,lon,altura_ok,geo_score,geo_method,geo_ok,Distancia_subte_km,Distancia_parque_km,Tasa_delitos_comuna,Zona_riesgo,Tipologia,A_estrenar,Indice_amenities,Precio_ajustado_USD,Precio_m2_USD,Precio_m2_ajustado_USD,Renta_m2_USD,Precio_m2_mediano_comuna,Volatilidad_Precio_m2_comuna,banda_sup,Renta_estimada_mensual_USD,Match_count,confianza_renta,Rentabilidad_bruta_anual,Rentabilidad_neta_anual,Payback_anios,Yield_gap_vs_bonos,Liquidez_oferta_comuna
USD 2.500.000,2400000.0,Jerónimo Salguero,2700.0,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423,5.0,3.0,4,17.0,Frente,Noreste,0,Sí,Departamento,280.0,280.0,0.0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1.0,0,1,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,2500000.0,2500000.0,3703000000.0,1481.2,2026-05-13T14:00:00.000Z,0.0006481231433972,JERONIMO SALGUERO,2700.0,2.0,Recoleta,-34.57156255420909,-58.400243150110235,True,100.0,recovery,True,2.4303610332756898,1.6395378884650298,1.0447534381885875,alto,4+A,0,8,2377250.0,8928.57142857143,8490.17857142857,5.892857142857143,2763.157894736842,0.33438691912022267,>100,1650.0,17.0,media,0.008328951519612998,-0.023365127773688085,120.06313131313131,-0.09167104848038701,0.0014373274573867233
USD 150.000,260000.0,Bulnes,1600.0,https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644,3.0,2.0,1,30.0,Frente,Este,1,Sí,Departamento,60.0,60.0,0.0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1,1,0,0,1,0,argenprop,False,"(53.0, 72.0]",USD,150000.0,150000.0,222180000.0,1481.2,2026-05-13T14:00:00.000Z,0.001170222342245,BULNES,1600.0,14.0,Palermo,-34.59341447978705,-58.41626171880675,True,100.0,exacto,True,0.4627261096814245,1.9952221464090019,0.3173293561387364,bajo,3A,0,1,142635.0,2500.0,2377.25,14.166666666666666,3076.923076923077,0.7185047022536231,55-75,850.0,47.0,alta,0.07151119991586917,0.03455193325621341,13.983823529411765,-0.028488800084130836,0.0020354411558041806
USD 113.000,116000.0,Ángel Justianiano Carranza,2300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-1-ambiente--19247127,1.0,0.0,1,30.0,Frente,Norte,0,0,Departamento,40.0,40.0,0.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,1,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,113000.0,113000.0,167375600.0,1481.2,2026-05-13T14:00:00.000Z,0.0006930520338687,ANGEL JUSTIANIANO CARRANZA,2300.0,14.0,Palermo,-34.57828963257139,-58.43348542433528,True,98.0392156862745,fuzzy,True,0.6466115771636299,0.9754411377125086,0.3173293561387364,bajo,monoamb,0,2,107451.7,2825.0,2686.2925,15.888975155279502,3076.923076923077,0.7185047022536231,35-55,635.5590062111801,32.0,alta,0.07097801220952447,0.034063177858730774,14.088870184868476,-0.02902198779047553,0.0020354411558041806
USD 330.000,203300.0,ARAOZ,1200.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,4.0,3.0,1,40.0,Contrafrente,Noroeste,0,0,Semipiso,90.0,96.0,6.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,True,"(72.0, 103.0]",USD,330000.0,330000.0,488796000.0,1481.2,2026-05-13T14:00:00.000Z,0.0004159199338783,ARAOZ,1200.0,14.0,Palermo,-34.594531087590056,-58.42867985356714,True,100.0,exacto,True,0.7501784699493982,1.4237299509742711,0.3173293561387364,bajo,4+A,0,2,313797.0,3666.6666666666665,3486.633333333333,13.793020673928044,3076.923076923077,0.7185047022536231,75-100,1241.371860653524,14.0,media,0.047471653100068796,0.012515682008396395,21.065202804124613,-0.05252834689993121,0.0020354411558041806
USD 270.000,300000.0,Honduras,3900.0,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214,4.0,2.0,2,20.0,Frente,Norte,0,Sí,Semipiso,87.0,87.0,5.0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,argenprop,False,"(72.0, 103.0]",USD,270000.0,270000.0,399924000.0,1481.2,2026-05-13T14:00:00.000Z,0.0007501425270801,HONDURAS,3900.0,14.0,Palermo,-34.58030064546351,-58.44121442666801,False,100.0,exacto_altura_fuera,True,0.3671645122076056,1.063143295157409,0.3173293561387364,bajo,4+A,0,2,256743.0,3103.448275862069,2951.0689655172414,14.268642076477287,3076.923076923077,0.7185047022536231,75-100,1241.371860653524,14.0,media,0.058020909344528526,0.022185833565817815,17.23516593064741,-0.04197909065547148,0.0020354411558041806
USD 570.000,1000000.0,Castex,3300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132,4.0,3.0,3,40.0,No informado,No informado,0,Sí,Piso,140.0,160.0,21.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,1,argenprop,False,"(103.0, 992.0]",USD,570000.0,570000.0,844284000.0,1481.2,2026-05-13T14:00:00.000Z,0.0011844355690739,CASTEX,3300.0,14.0,Palermo,-34.57880989052234,-58.40431860393241,True,100.0,exacto,True,1.7937628536631245,1.2616803020739717,0.3173293561387364,bajo,4+A,0,0,542013.0,4071.4285714285716,3871.5214285714287,13.571428571428571,3076.923076923077,0.7185047022536231,>100,1900.0,33.0,alta,0.04206541171521716,0.007559960738949069,23.7725,-0.057934588284782845,0.0020354411558041806
USD 98.000,150000.0,GURRUCHAGA,2100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534,1.0,0.0,1,15.0,Frente,Sudeste,0,Sí,Departamento,31.0,34.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,argenprop,False,"(-0.001, 39.0]",USD,98000.0,98000.0,145157600.0,1481.2,2026-05-13T14:00:00.000Z,0.0010333596036308,GURRUCHAGA,2100.0,14.0,Palermo,-34.586514587340446,-58.4248486496012,True,100.0,exacto,True,0.279067877653703,1.3973780667069042,0.3173293561387364,bajo,monoamb,0,0,93188.2,3161.2903225806454,3006.0709677419354,14.155915430383386,3076.923076923077,0.7185047022536231,<35,438.83337834188495,105.0,alta,0.056509306329584855,0.020800197468786124,17.696200235897436,-0.04349069367041515,0.0020354411558041806
USD 240.000,340000.0,BORGES JORGE LUIS,2100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440,3.0,2.0,1,5.0,Frente,Noroeste,0,Sí,Departamento,67.0,67.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,1,1,1,0,argenprop,False,"(53.0, 72.0]",USD,240000.0,240000.0,355488000.0,1481.2,2026-05-13T14:00:00.000Z,0.0009564317220271,BORGES JORGE LUIS,2100.0,14.0,Palermo,-34.58582009447012,-58.42572508008766,True,100.0,exacto,True,0.2675545221636876,1.3725413828922337,0.3173293561387364,bajo,3A,0,3,228216.0,3582.089552238806,3406.208955223881,12.686567164179104,3076.923076923077,0.7185047022536231,55-75,850.0,47.0,alta,0.04469449994741823,0.009969958285133383,22.374117647058824,-0.05530550005258177,0.0020354411558041806
USD 129.000,240000.0,Soler,5800.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-2-ambientes--19082959,2.0,1.0,1,10.0,Frente,Noreste,0,0,Departamento,41.0,45.0,4.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,129000.0,129000.0,191074800.0,1481.2,2026-05-13T14:00:00.000Z,0.001256052603483,SOLER,5800.0,14.0,Palermo,-34.579676357759276,-58.434104303787166,True,100.0,exacto,True,0.4988047758975981,1.1396932780242517,0.3173293561387364,bajo,2A,0,0,122666.09999999999,3146.3414634146343,2991.8560975609753,14.819888949632137,3076.923076923077,0.7185047022536231,35-55,607.6154469349176,129.0,alta,0.05944091613916976,0.02348750646090561,16.823428455555554,-0.04055908386083024,0.0020354411558041806
USD 113.076,112950.0,AV FRANCISCO ACUÑA DE FIGUEROA,1200.0,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16661693,1.0,0.0,1,40.0,Frente,Norte,0,0,Departamento,30.0,34.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,113076.0,113076.0,167488171.20000002,1481.2,2026-05-13T14:00:00.000Z,0.0006743759824395,AVENIDA FRANCISCO ACUNA DE FIGUEROA,1200.0,5.0,Almagro,-34.597971004398296,-58.42182506478811,True,,recovery,True,0.29672743827987236,1.405868875464313,0.7262366972989581,alto,monoamb,0,1,107523.9684,3769.2,3584.13228,11.252137906202176,2285.358181494451,0.8153691824811038,<35,337.5641371860653,37.0,alta,0.03767317842254029,0.0035337468873285977,26.544083665680002,-0.062326821577459716,0.0013072260551381246
