Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Ambientes	Dormitorios	Baños	Toilettes	Estado	Antiguedad	Disposicion	Orientacion	Tipo_Balcon	Apto_Profesional	Apto_Credito	Tipo_Unidad	Tipo_Operacion	Sup_Cubierta_m2	Sup_Total_m2	Sup_Descubierta_m2	Precio_Ficha	Expensas_Ficha	Cant_Pisos_Edificio	Deptos_Por_Piso	Antiguedad_Edificio	Estado_Edificio	Aire_acondicionado_individual	Electricidad	Losa_radiante	Gas_natural	Agua_corriente	Agua_caliente	Balcón	Terraza	Jardín	Patio	Baulera	Cochera	Muebles_de_cocina	Lavarropas	Lavavajillas	Conexión_para_lavarropas	Permite_Mascotas	Apto_Crédito	Ascensor	Pileta	Piscina	Parrilla	SUM	Gimnasio	Sauna	Laundry	Seguridad_24hs	Vigilancia	Acceso_para_personas_con_movilidad_reducida	Pavimento	ABL	Smart_Amenities	Smart_Losa_Central	Smart_Luminoso	Smart_Balcon_Aterrazado
USD 2.500.000	ARS 2.400.000	Jerónimo Salguero	2700	N/A	280 m² cubie. 3 dorm. 17 años	“TORRE BELLINI” DE REVISTA! IMPECABLE PISO MUY ALTO! BALCÓN CON ESPECTACULAR VISTA PANORÁMICA A LA CIUDAD Y AL RÍO! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! TODO A NUEVO! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 Master suite con 2 vestidores! 1 Dormitorio en suite! 1 Dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full Amenities: Piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax, SUM, parrilla, juegos para niños, espacio verde, microcine, jaulas de golf y laundry! Calefacción y aire acondicionado central con regulación individual! Aberturas de aluminio con DVH! 2 Cocheras fijas y cubiertas! 2 Bauleras! Grupo electrógeno! 3 Ascensores! Estacionamiento de cortesía! El edificio cuenta con encargado y 2 ayudantes! Vigilancia 24hs! APTO CRÉDITO! Excelente ubicación! La mejor zona de Palermo! A metros de Av. Libertador y Plaza Alemania! ÚNICO! OPORTUNIDAD! * Esta propiedad posee rampa de acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423	5	3	4	1	Excelente	17	Frente	NE	Corrido	0	Sí	Departamento	Venta	280	280	N/A	USD 2.500.000	N/A	37	N/A	N/A	Excelente	0	1	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0
USD 150.000	ARS 260.000	Bulnes	1600	N/A	60 m² cubie. 2 dorm. 30 años	IMPECABLE! BALCÓN CORRIDO AL FRENTE CON VISTA ABIERTA! Muy luminoso! Todo luz y sol! Excelente distribución! Hall de entrada! Living-comedor! Baño completo! 2 Dormitorios! Amplios placares! Cocina completa! 1 Split! Pisos de madera! Puerta blindada! BAULERA! El edificio cuenta con encargado! APTO PROFESIONAL! APTO CRÉDITO! Inmejorable ubicación! Todos los medios de transporte! Posibilidad de cochera enfrente! ÚNICO! OPORTUNIDAD! *Esta propiedad posee rampa de acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644	3	2	1	N/A	Excelente	30	Frente	E	Corrido	Sí	Sí	Departamento	Venta	60	60	N/A	USD 150.000	N/A	8	N/A	N/A	Excelente	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0
USD 113.000	ARS 116.000	Ángel Justianiano Carranza	2300	N/A	40 m² cubie. 30 años 1 baño	IMPECABLE MONOAMBIENTE! ESPECTACULAR VISTA ABIERTA AL RÍO! PISO ALTO! Balcón francés! TODO A NUEVO! Muy luminoso! Todo luz y sol! Amplio ambiente! Baño completo a nuevo! Cocina completa a nueva con barra desayunadora! Amplio placard! Lavadero independiente! Split frío-calor! 3 Ascensores! El encargado vive en el edificio! Vigilancia 24hs! APTO CRÉDITO! Inmejorable ubicación! Todos los medios de transporte! ÚNICO! OPORTUNIDAD! *Esta propiedad NO posee rampa de acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-1-ambiente--19247127	1	N/A	1	N/A	Excelente	30	Frente	N	Frances	0	N/A	Departamento	Venta	40	40	N/A	USD 113.000	N/A	17	N/A	N/A	Excelente	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
USD 330.000	ARS 203.300	ARAOZ	1200	8	90 m² cubie. 3 dorm. A Estrenar	"Venta 4 AMBIENTES con balcón Palermo + Cochera U$S 30.000 + Baulera U$S 10.000 Ubicado en el corazón de Palermo, a metros de Av. Scalabrini Ortiz y Av. Córdoba, y en cercanía a Plaza Armenia y Plaza Serrano. Emplazado en una de las zonas más buscadas de la ciudad, rodeado de propuestas gastronómicas, comerciales y excelentes conexiones de transporte. Semipiso en piso alto con vista abierta, gran luminosidad y excelente distribución. Ideal para quienes buscan confort, ubicación y calidad constructiva. LA UNIDAD: Piso alto al contra frente. Amplio living comedor con salida a balcón. Cocina independiente con comedor diario. Dormitorio principal en suite con vestidor. Dos dormitorios con frente interior de placard. Segundo baño completo con bañera. Excelente luz natural en todos los ambientes. EL EDIFICIO: Cocheras y bauleras. Bicicleteros. Terraza con parrilla. Solárium y duchas. Sistema de cámaras de seguridad con acceso remoto. DETALLES DE TERMINACIÓN: Pisos de porcellanato en todos los ambientes. Aires acondicionados frio/calor. Artefactos sanitarios Ferrum o Roca. Grifería FV o similar. Cocina a gas de primera marca. Muebles de cocina completos. Conexión para lavarropas y lava vajilla. Sunscreens en living y blackouts en dormitorios. LEPORE PALERMO LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) Nota: Los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requiera por ley. Los planos de planta pueden no ser a escala. Cualquier mueble, electrodoméstico o artículo de decorado representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la ""unidad"" que se establece en la declaración (que generalmente sólo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Propiedad según Ley 5115 La accesibilidad para las personas con discapacidades físicas. ""accesible"""	https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625	4	3	2	N/A	Bueno	N/A	Contrafrente	NO	N/A	Sí	N/A	N/A	Venta	90	96	N/A	USD 330.000	N/A	9	4	N/A	N/A	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
USD 270.000	ARS 300.000	Honduras	3900	2º	87 m² cubie. 2 dorm. 20 años	Venta Semipiso 4 Ambientes, Dos Baños completos, jacuzzi, Gran Baulera, Impecable estado - CON COCHERA FIJA CUBIERTA + gran baulera (habitación) SEMIPISO AL FRENTE Y CONTRA FRENTE CON BALCÓN ATERRAZADO + BAULERA (HABITACIÓN) IMPECABLE Y MUY LUMINOSO DEPARTAMENTO EN SEMIPISO DE CUATRO AMBIENTES: CON BALCÓN Y VISTA AL FRENTE Y CONTRA FRENTE - DOS DORMITORIOS CON EL PRINCIPAL EN SUITE Y BAÑO CON HIDROMASAJE, (DOS BAÑOS COMPLETOS) SUPERFICIE TOTAL: 88 m2. (COMO CORRESPONDE, EN ESTA SUPERFICIE NO ESTÁN INCLUIDADAS LAS DE LA COCHERA NI DE LA BAULERA) - En IMPECABLE ESTADO - ANTIGÜEDAD 20 AÑOS - ACCESO DESDE LA CALLE POR DOBLE PUERTA DE SEGURIDAD - GRAN BAULERA. EN ESTE PRECIO ESTÁ INCLUIDA UNA COCHERA FIJA Y CUBIERTA DE ESTE DEPARTAMENTO. - ACCESO A COCHERAS MEDIANTE CÓMODA RAMPA - EL ASCENSOR LLEGA HASTA EL SUBSUELO MOSTRAMOS ESTE INMUEBLE EN EL DÍA Amplio Y LUMINOSO estar más comedor. Posee un gran ventanal APAISADO con salida a BALCÓN ATERRAZADO. Cocina separada con COMEDOR DIARIO, COCINA EQUIPADA con alacenas y bajo mesadas. LAVADERO incorporado, DOS BAÑOS COMPLETOS CON EL PRINCIPAL EN SUITE. Dormitorio secundario con amplio PLACARD. - CALEFACCIÓN Y AGUA CALIENTE POR CALDERA PROPIA (PEISA) - BAULERA (HABITACIÖN) - COCHERA FIJA CUBIERTA INCLUIDA EN EL PRECIO PUBLICADO - BALCÓN ATERRAZADO AL CONTRA FRENTE de 3,72 x 1,60 metros - AIRE ACONDICIONADO SPLIT - Sistema de cableado para televisión/internet embutido EDIFICIO NO APTO PARA PERSONAS CON CAPACIDADES DISMINUIDAS Excelente ubicación por estar ubicado sobre la arbolada Av. Honduras y cerca de Av. Santa Fé y Alto Palermo con numerosas líneas de colectivos y línea de subte D. TERRAZAS & BALCONES Propiedades - Atención Back office: Lun a Vie de 09 a 20 Hs. - Sab 10 a 20 Hs. - AGRADECEMOS SU VISITA. - TASACIONES SIN CARGO. Necesita mudarse Hoy? Tomamos propiedades en parte de pago Los datos presentados en esta ficha son a solo efecto orientativo. Surgiendo los reales del respectivo titulo y plano de esta propiedad - CUCICBA. 5209 >>> Terrazas y Balcones Propiedades asegura la absoluta reserva y confidencialidad de toda la información que le es suministrada por los involucrados en todas sus operaciones en cumplimiento de la Ley de Protección de Datos Personales. TERRAZAS & BALCONES ES NUESTRA MARCA REGISTRADA Es el momento de elegir inmuebles con terrazas, balcones aterrazados y patios parquizados para vivir toda la energía que emanan - Mostramos nuestros inmuebles en el día - Carlos Campagnoli - Martillero Público - CUCICBA 5209 LAS FOTOS PUBLICADAS DE NUESTROS AVISOS NO ESTÁN MODIFICADAS NI ALTERADAS Y RESPONDEN AL ESTADO ACTUAL DE CADA PROPIEDAD.	https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214	4	2	2	N/A	Excelente	20	Frente	N	Terraza	0	Sí	Semipiso	Venta	87	87	5	USD 270.000	N/A	4	2	N/A	Excelente	1	1	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
USD 570.000	ARS 1.000.000	Castex	3300	N/A	140 m² cubie. 3 dorm. 40 años	PALERMO CHICO espectacular piso alto con vista abierta en edificio icónico del Arq. Clorindo Testa. VER PLANOS: PLANTA ACTUAL . LA PLANTA FUE MODIFICADA Y SE LE PUEDEN REALIZAR BASTANTES CAMBIOS palier privado living comedor con vista al polo balcón terraza con vista al rio amplia cocina, lavadero separado 3 dormitorios (hoy dos de ellos unidos en suite y un tercero integrado al living como estudio) segundo baño completo. excelente dependencia de servicio con baño con ducha (puede ser otro cuarto) agua caliente central calefacción central por losa radiante amplia cochera fija cubierta. baulera encargado y seguridad 24hs cámaras de seguridad ID@1144 las medidas son aproximadas las expensas pueden sufrir variaciones la Empresa no se hace responsable de estos cambios	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132	4	3	3	N/A	N/A	40	N/A	N/A	N/A	0	Sí	Piso	Venta	140	160	21	USD 570.000	N/A	N/A	N/A	N/A	N/A	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
USD 98.000	ARS 150.000	GURRUCHAGA	2100	5	31 m² cubie. 15 años 1 baño	"VENTA - DEPARTAMENTO 1 AMBIENTE AL FRENTE EN PALERMO Excelente departamento de 1 ambiente al frente, ubicado en Gurruchaga 2156, Palermo - Capital Federal, en una de las zonas más buscadas y mejor conectadas del barrio. La unidad se encuentra en 5º piso al frente, lo que le brinda muy buena luminosidad y ventilación. Características: Ambiente amplio y funcional Cocina integrada Baño completo Conexión para lavarropas Losa radiante individual Edificio de aproximadamente 15 años de antigüedad Muy buena distribución de los espacios Ubicado en la mejor zona de Palermo, rodeado de bares, restaurantes, comercios y con excelente acceso a medios de transporte. Ideal para vivienda, inversión o alquiler temporario. Gurruchaga 2156 - Palermo, Capital Federal LEPORE PROPIEDADES LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 1139 (Sucursales Caballito - Palermo - Centro) NOTA: Los materiales y especificaciones del plano están sujetos a modificaciones arquitectónicas y otras a la sola discreción del desarrollador, constructor o arquitecto, o que así se requieran por ley. Los planos de planta pueden no estar a escala. Cualquier mueble, electrodoméstico o artículo de decorador representado aquí se muestra únicamente con fines artísticos e ilustrativos y no está incluido en la compra y venta de la residencia. Las dimensiones indicadas se miden a los límites exteriores de la pared exterior y la línea central de las paredes interiores y, de hecho, varían de las dimensiones que se determinarían mediante el uso de la descripción y definición de la ""unidad"" que se establece en la declaración (que generalmente solo incluye el espacio aéreo interno entre las paredes perimetrales y excluye los componentes estructurales interiores). Además, las mediciones de habitaciones establecidas en cualquier plano de planta se toman generalmente en los mayores puntos de cada habitación determinada (como si la habitación fuera un rectángulo perfecto), sin tener en cuenta las salidas del corte. En consecuencia, el área de la habitación real será típicamente menor que el producto obtenido multiplicando la longitud por la anchura declarados. Todas las dimensiones son aproximadas y todos los planos y planes de desarrollo están sujetos a cambios. Representaciones orales no pueden considerarse como correctas declaraciones del desarrollador. Lepore Propiedades S. A. es una persona jurídica constituida bajo la leyes de la República Argentina y ejerce el corretaje en los términos del artículo 1345 y concordantes del Código Civil y Comercial de la Nación. Todas las operaciones en las que Lepore Propiedades S. A. toma participación son supervisadas, coordinadas y formalizadas por un corredor matriculado. El trabajo de todos los dependientes de Lepore Propiedades S. A. es coordinado y supervisado por un corredor matriculado. CUCICBA matriculas número 931 y 1139."	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534	1	N/A	1	N/A	Muy Bueno	15	Frente	SE	N/A	0	Sí	N/A	Venta	31	34	N/A	USD 98.000	N/A	8	32	N/A	N/A	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
USD 240.000	ARS 340.000	BORGES JORGE LUIS	2100	6	67 m² cubie. 2 dorm. 5 años	Departamento en venta 3 AMBIENTES en Palermo Soho, Capital Federal 3 Ambientes 66m2. Palermo Soho C/ Balcón, 2 baños en la zona de Palermo Soho Ubiciado en Borges entre Charcas y Paraguay. 6to piso, semipiso, al noroeste, super luminoso y silencioso. SUPERFICIE CUBIERTA: 59,07M2 SUPERFICIE DESCUBIERTA::7,64 SUPERFICIE TOTAL: 66,71M2 Compuesto por un Living comedor con cocina incorporada, mesada de marmol con tiene cocina a gas, y alacenas y bajo mesadas amplios. Living con, aire acondicionado y salida al balcón que da al frente Pasillo de distribucion con baño completo y dos dormitorios. Dormitorio Principal con baño en suite completo, vestidor, aire acondicionado frio/calor. Dormitorio secundario con aire acondicionado Edificio con Laundry, Parrilla en la terraza y GYM. Calefaccion por losa radiante, agua caliente central. Edificio con 1 solo ascensor y 2 unidades por piso. Precio US$ 240.000 Expensas $320.000 (incluye AySA) TOMAS TRIPPUTI - Mat. CUCICBA N 7969 AVISO Todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él Los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar.	https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440	3	2	2	N/A	Bueno	5	Frente	NO	N/A	Sí	Sí	N/A	Venta	67	67	N/A	USD 240.000	N/A	9	N/A	N/A	N/A	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0
USD 129.000	ARS 240.000	Soler	5800	1	41 m² cubie. 1 dorm. 10 años	Unidad de 2 ambientes, muy luminoso y en una excelente ubicación. Ubicado en Soler al 5800, en pleno corazón de Palermo Hollywood, una de las zonas más buscadas de la ciudad por su propuesta gastronómica, cultural y su excelente conectividad. A pocas cuadras de Av. Santa Fe, Av. Juan B. Justo y cercano a múltiples medios de transporte, incluyendo la estación Palermo de la Línea D de subte y el Metrobus. El departamento se destaca por su gran luminosidad (orientación Noreste) y su balcón, que brinda un gran espacio exterior, ideal para disfrutar todos los días. Cuenta con cocina integrada al living comedor, generando un ambiente cómodo y funcional. Dormitorio con placard integrado y muy buena entrada de luz natural. Baño completo. Una excelente opción tanto para vivienda como para inversión, en una ubicación estratégica y con alta demanda. AVISO LEGAL: Las fotos, descripciones arquitectónicas y funcionales, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, no contractuales, y se presentan únicamente a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados, ya que dependen de la fecha en la que se obtuvo la información y podrían contener inexactitudes o diferencias respecto de los datos que surgen de las facturas, títulos de propiedad y planos legales del inmueble. Se recomienda a los interesados realizar las verificaciones correspondientes antes de concretar cualquier operación, solicitando por sí mismos o a través de sus profesionales las copias necesarias de la documentación pertinente. Los precios están sujetos a modificaciones sin previo aviso.	https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-2-ambientes--19082959	2	1	1	N/A	Excelente	10	Frente	NE	N/A	0	N/A	Departamento	Venta	41	45	4	USD 129.000	N/A	N/A	2	N/A	Excelente	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
USD 113.076	N/A	AV FRANCISCO ACUÑA DE FIGUEROA	1200	7	30 m² cubie. A Estrenar 1 baño	Venta de Departamento 1 AMBIENTE en Palermo, Capital Federal VPalermo - Viví la experiencia de un edificio único. Ubicado en Acuña de Figueroa 1204, a metros del Sanatorio Güemes, este edificio es ideal tanto para renta sanitaria con alta ocupación durante todo el año, como para quienes buscan conectividad absoluta, rodeado de múltiples medios de transporte. Desde el momento en que ingresás, el edificio marca la diferencia: Ingreso inteligente mediante clave o tarjeta de proximidad. Amplio hall de recepción y dos ascensores de gran capacidad. Amenities premium: SUM, espacio de coworking y piscina con solarium en el último piso. Seguridad 24 hs por tótem. La unidad monoambiente al frente, fácilmente divisible, ofrece confort y diseño: Cocina con isla y mesada de silestone, horno empotrado y anafe eléctrico Samsung. Espacio de excelentes dimensiones con salida a balcón con DVH. Pisos símil madera y baño completo en porcellanato. Preinstalación para aire acondicionado frío/calor y espacio para lavarropas. Opciones de pago flexibles: Crédito hipotecario. Financiación privada: anticipo del 50% + 72 cuotas con tasa anual preferencial. Descuento exclusivo por pago al contado. Calidad, confort y bienestar en una ubicación estratégica. ¡No esperes más! Coordiná tu visita hoy mismo con nuestro equipo comercial y asegurá tu lugar en VPalermo. Tel : Cel : +54 9 Click para WhatsApp LEPORE VILLA CRESPO. LEPORE PROPIEDADES . LEPORE Propiedades S.A. CUIT : -9. C.U.C.I.C.B.A. Matrícula Nº 931 (Caballito, Villa Crespo, San Cristóbal). AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16661693	1	N/A	1	N/A	Bueno	N/A	Frente	N	N/A	0	N/A	N/A	Venta	30	34	N/A	USD 113.076	N/A	11	5	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
