Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio,calle_norm,Altura_num,Comuna,Barrio,lat,lon,altura_ok,geo_score,geo_method,geo_ok,Distancia_subte_km,Distancia_parque_km,Tasa_delitos_comuna,Zona_riesgo,Tipologia,A_estrenar,Indice_amenities,Renta_largo_mensual_USD,Renta_m2_USD,banda_sup,Liquidez_oferta_comuna
USD 950,20000.0,Manuel Nicolas Savio,400.0,https://www.argenprop.com/departamento-en-alquiler-temporal-en-las-canitas-3-ambientes--18402372,3.0,2.0,2,35.0,Lateral,No informado,0,0,Departamento,65.0,65.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(52.274, 76.0]",USD,950.0,950.0,1407140.0,1481.2,2026-05-13T14:00:00.000Z,0.1478175590204244,MANUEL NICOLAS SAVIO,400.0,,,,,False,,sin_match,False,,,,,3A,0,0,950.0,14.615384615384615,55-75,
ARS 890.000,7633.0,Niceto vega,5900.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-1-ambiente--19120155,1.0,0.0,1,35.0,Frente,Norte,0,0,Departamento,47.0,47.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,argenprop,False,"(42.0, 52.274]",ARS,890000.0,600.8641641911963,890000.0,1481.2,2026-05-13T14:00:00.000Z,0.1960674157303371,NICETO VEGA,5900.0,,,,,False,,sin_match,False,,,,,monoamb,0,4,600.8641641911963,12.784343918961623,35-55,
ARS 1.600.000,100000.0,El Salvador,5500.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--10779484,3.0,2.0,2,15.0,Contrafrente,No informado,0,0,Departamento,80.0,85.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,argenprop,False,"(76.0, 900.0]",ARS,1600000.0,1080.205238995409,1600000.0,1481.2,2026-05-13T14:00:00.000Z,0.228125,EL SALVADOR,5500.0,14.0,Palermo,-34.584394593748236,-58.434164898860615,True,100.0,exacto,True,0.09421086424649491,1.4334233706730326,0.3173293561387364,bajo,3A,0,3,1080.205238995409,13.502565487442613,75-100,0.0020354411558041806
USD 1.400,100000.0,RODRIGUEZ PEÑA,2000.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--17789860,5.0,2.0,3,40.0,Frente,Noroeste,0,0,Departamento,100.0,102.0,2.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(76.0, 900.0]",USD,1400.0,1400.0,2073680.0,1481.2,2026-05-13T14:00:00.000Z,0.1297210755757879,RODRIGUEZ PENA,2000.0,2.0,Recoleta,-34.58859449852276,-58.38656591207262,True,100.0,exacto,True,1.130165190258543,3.1843499880507298,1.0447534381885875,alto,4+A,0,1,1400.0,14.0,75-100,0.0014373274573867233
ARS 900.000,25000.0,HONDURAS,4600.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--19226675,1.0,0.0,1,35.0,Contrafrente,Norte,0,0,Departamento,27.0,40.0,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,argenprop,False,"(35.0, 42.0]",ARS,900000.0,607.6154469349176,900000.0,1481.2,2026-05-13T14:00:00.000Z,0.1555555555555555,HONDURAS,4600.0,14.0,Palermo,-34.59184030911079,-58.42551279783467,True,100.0,exacto,True,0.3369065468946852,1.7991409157551859,0.3173293561387364,bajo,monoamb,0,5,607.6154469349176,22.504275812404355,<35,0.0020354411558041806
ARS 550.000,65000.0,Montevideo,1100.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--19202770,2.0,1.0,1,80.0,No informado,No informado,0,0,Departamento,34.0,34.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(0.999, 35.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.34,MONTEVIDEO,1100.0,2.0,Recoleta,-34.59649852101986,-58.38987362820517,True,100.0,exacto,True,0.3482478766375324,3.1192389748365352,1.0447534381885875,alto,2A,0,1,371.3205509046719,10.921192673666821,<35,0.0014373274573867233
ARS 800.000,7633.0,Juncal,2900.0,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--19409129,2.0,1.0,1,45.0,Frente,Noroeste,0,0,Departamento,44.0,50.0,6.0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,argenprop,False,"(42.0, 52.274]",ARS,800000.0,540.1026194977045,800000.0,1481.2,2026-05-13T14:00:00.000Z,0.2875,JUNCAL,2900.0,2.0,Recoleta,-34.58843542703106,-58.40584376627103,True,100.0,exacto,True,1.1734767858225104,1.7909734737238892,1.0447534381885875,alto,2A,0,1,540.1026194977045,12.27505953403874,35-55,0.0014373274573867233
ARS 550.000,25000.0,Fitz Roy al,1400.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18816139,1.0,0.0,1,10.0,Frente,Sudeste,0,0,Departamento,38.0,38.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,argenprop,False,"(35.0, 42.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.3818181818181818,FITZ ROY,1400.0,14.0,Palermo,-34.58718115958829,-58.43971888011292,True,100.0,exacto,True,0.3378627007252896,0.8956177874991976,0.3173293561387364,bajo,monoamb,0,0,371.3205509046719,9.771593444859787,35-55,0.0020354411558041806
ARS 500.000,65000.0,San Luis,3400.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--19260608,2.0,1.0,1,40.0,Lateral,Norte,0,0,Departamento,30.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,argenprop,False,"(0.999, 35.0]",ARS,500000.0,337.5641371860653,500000.0,1481.2,2026-05-13T14:00:00.000Z,0.22,SAN LUIS,3400.0,5.0,Almagro,-34.59923873052914,-58.41283535587917,True,100.0,exacto,True,0.2670758830111516,2.0078018656492795,0.7262366972989581,alto,2A,0,0,337.5641371860653,11.252137906202176,<35,0.0013072260551381246
ARS 550.000,65000.0,Gallo,900.0,https://www.argenprop.com/departamento-en-alquiler-en-palermo--16150814,1.0,0.0,1,10.0,Contrafrente,No informado,0,0,Departamento,29.0,32.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,argenprop,False,"(0.999, 35.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.2909090909090909,GALLO,900.0,5.0,Almagro,-34.599769543967945,-58.41220215375074,True,100.0,recovery,True,0.3404744847798407,2.0367273433425797,0.7262366972989581,alto,monoamb,0,0,371.3205509046719,12.804156927747307,<35,0.0013072260551381246
