Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
USD 2.500.000,2400000.0,Jerónimo Salguero,2700.0,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423,5.0,3.0,4,17.0,Frente,Noreste,0,Sí,Departamento,280.0,280.0,0.0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1.0,0,1,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,2500000.0,2500000.0,3703000000.0,1481.2,2026-05-13T14:00:00.000Z,0.0006481231433972455
USD 150.000,260000.0,Bulnes,1600.0,https://www.argenprop.com/departamento-en-venta-en-botanico-3-ambientes--15321644,3.0,2.0,1,30.0,Frente,Este,1,Sí,Departamento,60.0,60.0,0.0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,1,1,0,0,1,0,argenprop,False,"(53.0, 72.0]",USD,150000.0,150000.0,222180000.0,1481.2,2026-05-13T14:00:00.000Z,0.0011702223422450266
USD 113.000,116000.0,Ángel Justianiano Carranza,2300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-1-ambiente--19247127,1.0,0.0,1,30.0,Frente,Norte,0,0,Departamento,40.0,40.0,0.0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,1,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,113000.0,113000.0,167375600.0,1481.2,2026-05-13T14:00:00.000Z,0.0006930520338687359
USD 330.000,203300.0,ARAOZ,1200.0,https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625,4.0,3.0,1,40.0,Contrafrente,Noroeste,0,0,Semipiso,90.0,96.0,6.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,True,"(72.0, 103.0]",USD,330000.0,330000.0,488796000.0,1481.2,2026-05-13T14:00:00.000Z,0.00041591993387834597
USD 270.000,300000.0,Honduras,3900.0,https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214,4.0,2.0,2,20.0,Frente,Norte,0,Sí,Semipiso,87.0,87.0,5.0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,argenprop,False,"(72.0, 103.0]",USD,270000.0,270000.0,399924000.0,1481.2,2026-05-13T14:00:00.000Z,0.0007501425270801452
USD 570.000,1000000.0,Castex,3300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--19134132,4.0,3.0,3,40.0,No informado,No informado,0,Sí,Piso,140.0,160.0,21.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,1,argenprop,False,"(103.0, 992.0]",USD,570000.0,570000.0,844284000.0,1481.2,2026-05-13T14:00:00.000Z,0.0011844355690739136
USD 98.000,150000.0,GURRUCHAGA,2100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19192534,1.0,0.0,1,15.0,Frente,Sudeste,0,Sí,Departamento,31.0,34.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,argenprop,False,"(-0.001, 39.0]",USD,98000.0,98000.0,145157600.0,1481.2,2026-05-13T14:00:00.000Z,0.0010333596036308124
USD 240.000,340000.0,BORGES JORGE LUIS,2100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19106440,3.0,2.0,1,5.0,Frente,Noroeste,0,Sí,Departamento,67.0,67.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,1,1,1,0,argenprop,False,"(53.0, 72.0]",USD,240000.0,240000.0,355488000.0,1481.2,2026-05-13T14:00:00.000Z,0.0009564317220271852
USD 129.000,240000.0,Soler,5800.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-2-ambientes--19082959,2.0,1.0,1,10.0,Frente,Noreste,0,0,Departamento,41.0,45.0,4.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,129000.0,129000.0,191074800.0,1481.2,2026-05-13T14:00:00.000Z,0.0012560526034830339
USD 113.076,112950.0,AV FRANCISCO ACUÑA DE FIGUEROA,1200.0,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16661693,1.0,0.0,1,40.0,Frente,Norte,0,0,Departamento,30.0,34.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,113076.0,113076.0,167488171.20000002,1481.2,2026-05-13T14:00:00.000Z,0.0006743759824395288
USD 219.000,200000.0,Jorge Luis Borges,2400.0,https://www.argenprop.com/departamento-en-venta-en-botanico-4-ambientes--19381734,4.0,3.0,2,14.0,Contrafrente,No informado,0,Sí,Duplex,75.0,85.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,219000.0,219000.0,324382800.0,1481.2,2026-05-13T14:00:00.000Z,0.0006165555017097084
USD 180.000,400000.0,México,4200.0,https://www.argenprop.com/departamento-en-venta-en-caballito-sur-3-ambientes--12113273,3.0,2.0,1,11.0,Frente,Este,1,Sí,Departamento,100.0,100.0,0.0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,180000.0,180000.0,266616000.0,1481.2,2026-05-13T14:00:00.000Z,0.0015002850541602905
USD 68.000,112500.0,"RIVADAVIA, AV.",5200.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19339863,2.0,1.0,1,56.0,Contrafrente,Norte,1,Sí,Departamento,40.0,40.0,0.0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(39.0, 53.0]",USD,68000.0,68000.0,100721600.0,1481.2,2026-05-13T14:00:00.000Z,0.0011169401598068339
USD 105.000,178000.0,CONESA,2500.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--19264926,1.0,1.0,1,10.0,Contrafrente,Noreste,0,0,Departamento,36.0,37.0,1.0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(-0.001, 39.0]",USD,105000.0,105000.0,155526000.0,1481.2,2026-05-13T14:00:00.000Z,0.001144503169887993
