Precio	Expensas	Calle	Altura	Piso	Tipo_Alquiler	Detalles	Descripción	Link	Ambientes	Dormitorios	Baños	Toilettes	Estado	Antiguedad	Disposicion	Orientacion	Tipo_Balcon	Apto_Profesional	Apto_Credito	Tipo_Unidad	Tipo_Operacion	Sup_Cubierta_m2	Sup_Total_m2	Sup_Descubierta_m2	Precio_Ficha	Expensas_Ficha	Cant_Pisos_Edificio	Deptos_Por_Piso	Antiguedad_Edificio	Estado_Edificio	Aire_acondicionado_individual	Electricidad	Losa_radiante	Gas_natural	Agua_corriente	Agua_caliente	Balcón	Terraza	Jardín	Patio	Baulera	Cochera	Muebles_de_cocina	Lavarropas	Lavavajillas	Conexión_para_lavarropas	Permite_Mascotas	Apto_Crédito	Ascensor	Pileta	Piscina	Parrilla	SUM	Gimnasio	Sauna	Laundry	Seguridad_24hs	Vigilancia	Acceso_para_personas_con_movilidad_reducida	Pavimento	ABL	Smart_Amenities	Smart_Losa_Central	Smart_Luminoso	Smart_Balcon_Aterrazado
USD 950	N/A	Manuel Nicolas Savio	400	4	Alquiler Temporal	65 m² cubie. 2 dorm. 2 baños	Excelente unidad. Amplio y luminoso departamento de 2 dormitorios y 2 baños. Excelente ubicación en calle tranquila a 100 metros de Av. Cabildo y subte D y a metros de centro comercial de Palermo Hollywood y Las Cañitas. Aire acondicionado en habitación principal y Living/comedor. Lavarropas, microondas ,TV 50,tostadora/pava eléctrica ,totalmente equipado .El precio publicado incluye expensas con tope. Servicios a cargo del inquilino. Contrato temporal para extranjeros. En contratos tradicionales consultar condiciones.	https://www.argenprop.com/departamento-en-alquiler-temporal-en-las-canitas-3-ambientes--18402372	3	2	2	N/A	Muy Bueno	N/A	Lateral	N/A	Frances	0	N/A	Departamento	Alquiler Temporal	65	65	N/A	USD 950	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARS 890.000	N/A	Niceto vega	5900	3	Alquiler	47 m² cubie. Monoam. Bueno	"ALQUILER - MONOAMBIENTE LUMINOSO EN PALERMO Ubicación privilegiada sobre Niceto Vega 3D, en el corazón de Palermo, uno de los barrios más buscados de la ciudad. Te presentamos este hermoso monoambiente súper luminoso, ideal para quienes buscan comodidad, estilo y excelente ubicación. Características del departamento: Ambiente amplio y funcional Excelente ingreso de luz natural Aire acondicionado instalado Cocina integrada Baño completo Amenities del edificio: SUM con parrilla Piscina Laundry Ubicación estratégica, con cercanía a polos gastronómicos, comerciales y fácil acceso a medios de transporte. AVISO DE ALQUILER LEPORE PROPIEDADES T. / C. LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas y/o gastos comunes, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas con carácter previo a la realización de cualquier operación, requiriendo por sí o sus profesionales de confianza las copias necesarias de la documentación que corresponda. Se encuentra prohibido cobrar comisiones inmobiliarias y gastos de gestoría de informes a los inquilinos que sean personas físicas. Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4,15%) del valor total del respectivo contrato (conf. el Art.4 de la Ley 5.859 de C.A.B.A) Propiedad según Ley 5115 La accesibilidad para las personas con discapacidades físicas. ""accesible"""	https://www.argenprop.com/departamento-en-alquiler-en-palermo-soho-1-ambiente--19120155	1	N/A	N/A	N/A	Bueno	N/A	Frente	N	N/A	0	N/A	N/A	Alquiler	47	47	N/A	ARS 890.000	N/A	N/A	N/A	N/A	N/A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0
ARS 1.600.000	ARS 365.000	El Salvador	5500	3	Alquiler	80 m² cubie. 2 dorm. 15 años	ALQUILER: $ 1.600.000 ó U$S 1.150. Expensas: $ 365.000. POSIBILIDAD COCHERA. PILETA, SUM. Piso 3° al Contrafrente, Balcón, Muy Luminoso. Cocina Americana. 2 Baños (1 en suite). Lavadero Incorporado. Aire Frío - Calor en todos los ambientes.	https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-3-ambientes--10779484	3	2	2	N/A	Muy Bueno	15	Contrafrente	N/A	N/A	0	N/A	Departamento	Alquiler	80	85	5	ARS 1.600.000	N/A	N/A	N/A	N/A	N/A	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
USD 1.400	ARS 269.000	RODRIGUEZ PEÑA	2000	2	Alquiler	100 m² cubie. 2 dorm. 40 años	•ESPECTACULAR DEPARTAMENTO DE CATEGORIA DE 3 AMBIENTES EN EL CORAZON DE RECOLETA. AL FRENTE. MUY LUMINOSO, AMBIENTES AMPLIOS. TODOS LOS MEDIOS DE TRANSPORTES. A 20METROS DE LA AV. DEL LIBERTADOR Y DOS CUADRAS DE AV. ALVEAR. GRAN LIVING COMEDOR CON PISOS DE PARQUET HIDROLAQUEDOS, CON HOGAR Y CON SALIDA AL BALCON A LA CALLE. •DOS DORMITORIOS UNO EN SUITE CON PLACARD Y VISTA A LA CALLE Y EL SEGUNDO DORMITORIO CON PLACARD Y BAÑO COMPLETO.AMBOS DORMITORIOS CON PISO DE PARQUET. •AMPLIA COCINA INDEPENDIENTE CON PASAPLATOS, CON MUEBLES BAJO MESADA, SOBREMESADA, TODOS LAQUEADOS Y MESADA DE MARMOL BLANCO. CON PISOS Y PAREDES DE PORCELANATO. CONEXIÓN PARA LAVAVAJILLAS. EXTRACTOR DE AIRE. •LAVADERO INDEPENDIENTE CON CONEXIÓN PARA LAVARROPAS. •DOBLE CIRCULACION. •TODOS LOS AMBIENTES CON AIREACONDICOONADO FRIO -CALOR. SISTEMA DE PERSIANAS ELECTRICAS EN TODOS LOS AMBIENTES. • REQUISITOS ALQUILER 1400 U$S DOS MESES DE DEPOSITO MES ADELANTADO. GASTOS DE AVERIGUACION DE GARANTIA $100.000 CERTIFICACION DE FIRMAS A CARGO DE FUTURO LOCATARIO. FUTURO LOCATARIO SE HACE CARGO DE ABL, AYSA, EXPENSAS ($260.000 PUEDEN VARIAR). CONTRATO POR DOS AÑOS O MAS PLAZO. GARANTIA PROPIETARIA Y RECIBOS DE SUELDO. SE ACEPTAN MASCOTAS.	https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--17789860	5	2	3	1	Excelente	40	Frente	NO	Corrido	0	N/A	Departamento	Alquiler	100	102	2	USD 1.400	N/A	N/A	2	N/A	Excelente	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARS 900.000	N/A	HONDURAS	4600	6	Alquiler	27 m² cubie. 1 baño Monoam.	1 AMBIENTE CON TERRAZA ÚNICA EN PALERMO - AMOEBLADO DISPONIBLE PARA ALQUILAR A PARTIR DEL 1 MAYO Excelente departamento de 1 ambiente con amplia terraza privada, ubicado en una de las zonas más buscadas de Palermo. A metros del polo gastronómico sobre Av. Córdoba y muy cercano a la reconocida Plaza Armenia, rodeado de bares, restaurantes y propuestas culturales. La unidad cuenta con un ambiente amplio, luminoso y divisible, con salida directa a la terraza, lo que brinda gran ventilación y luz natural. Dispone de living/habitación, cocina semi integrada equipada con muebles bajo mesada y alacena. Se alquila completamente amueblado, listo para ingresar. Ideal para quienes buscan confort, ubicación y espacio al aire libre en pleno Palermo. Amenities del edificio: Piscina Solarium Laundry Gimnasio Parrilla SUM AVISO DE ALQUILER LEPORE PROPIEDADES T. / C. LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas y/o gastos comunes, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas con carácter previo a la realización de cualquier operación, requiriendo por sí o sus profesionales de confianza las copias necesarias de la documentación que corresponda.	https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--19226675	1	N/A	1	N/A	Excelente	N/A	Contrafrente	N	N/A	0	N/A	N/A	Alquiler	27	40	13	ARS 900.000	N/A	10	7	N/A	N/A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0
ARS 550.000	ARS 187.000	Montevideo	1100	N/A	Alquiler	34 m² cubie. 1 dorm. 80 años	Dueño alquila, Montevideo al 1100, entre Avda. Santa fe y Arenales Edificio de estilo, de inmejorable ubicación, a 1/2 cuadra de Plaza Vicente Lopez Departamento de 34 m2, consta de: hall de entrada, cocina independiente, comedor, dormitorio con amplio placard en cedro Interno muy luminoso, por ser último piso, con ventanales de vitreax, en hall de recepción y comedor, celosías metálicas en ventanal con vidrio repartido en dormitorio; iluminación y ventilación natural en baño y cocina LISTO PARA HABITAR Puerta de acceso blindada, split frio calor, pisos con moquette y amplísima terraza de uso común Condiciones: Alquiler $550.000 actualizados trimestralmente por IPC y expensas comunes, $187.000 (incluyen AySA), ABL, $12953 y servicios Un mes de depósito y un mes de alquiler por adelantado Exclusivamente garantía inmobiliaria, preferentemente CABA o Gran Buenos Aires y acreditación de ingresos Costo de trámites de información y expensas extraprdinarias a cargo del propietario	https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--19202770	2	1	1	N/A	N/A	80	N/A	N/A	N/A	0	N/A	Departamento	Alquiler	34	34	N/A	ARS 550.000	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARS 800.000	ARS 230.000	Juncal	2900	4	Alquiler	44 m² cubie. 1 dorm. 45 años	DUEÑO ALQUILA Depto 2 ambientes en Recoleta. Departamento al frente de 50 m2. Muy Luminoso. En excelente estado. Living-Comedor grande de 5,80 x 3,05 m. Dormitorio cómodo de 3,10 x 2,90 m con placard de 2,70 x 0,80 m (toda la pared). Baño completo de 2,00 x 1,70 m con Vanitory y Gabinete Toallero grande. Cocina completa 3,00 x 1,80 m con Alacenas y Bajomesadas grandes. Lavadero Independiente de 1,80 x 1,20 m. Balcón corrido de 5,10 x 1,20 m sobre Living y Dormitorio. Baulera. Aire Acondicionado Split en Living-Comedor. Calefacción Living por Calefactor con tiro balanceado. Calefacción Dormitorio por Panel Cerámico EcoSol. Agua Caliente por Calefón propio. Excelente ubicación. A 2 cuadras del Shopping Alto Palermo. Todo tipo de Transportes cerca (Micros y Subte). Alquiler: $800.000 ajustables cada 3 meses, por 2 años. Expensas $ 230.000. Para Entrar: Al aprobar los Comprobantes de Ingresos, Informes Veraz Full de todos, la Escritura de la Garantía + Certificado de Libre Gravamen o Seguro de Caución. Reserva: $800.000. Contrato: En 5 días con el pago de un Alquiler $800.000+Dep.Garantía $800.000. Para Visitar: Llamar al Celular/WhatsApp .	https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--19409129	2	1	1	N/A	Excelente	45	Frente	NO	Corrido	0	N/A	Departamento	Alquiler	44	50	6	ARS 800.000	N/A	6	4	N/A	Bueno	1	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ARS 550.000	ARS 210.000	Fitz Roy al	1400	N/A	Alquiler	38 m² cubie. 10 años 1 baño	El departamento consta de: * Ambiente unico con cocina americana, aire acondicionado frío/calor y balcón terraza al frente. * Baño completo * Vestidor * Apto oficina Condiciones generales: Se requiere garantía propietaria, depósito de garantía, mes adelantado y demostración de ingresos de locatarios (recibos de sueldo o certificación de ingresos por contador y documentación respaldatoria en caso de ser autónomo) NO SE ACEPTAN MASCOTAS. Las medidas, superficies y montos de expensas consignadas en la presente descripción son aproximadas, a solo título orientativo y no son vinculantes. Las medidas y superficies reales surgen del Título respectivo, y el monto de expensas real, del recibo emitido por la Administración del Consorcio de Copropietarios que rige el inmueble.	https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-1-ambiente--18816139	1	N/A	1	N/A	N/A	10	Frente	SE	N/A	Sí	N/A	N/A	Alquiler	38	38	N/A	ARS 550.000	N/A	N/A	N/A	N/A	N/A	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ARS 500.000	ARS 110.000	San Luis	3400	N/A	Alquiler	1 dorm. 40 años 1 baño	Dos ambientes muy luminosos, lateral sin balcon, en San Luis y Bustamante cocina y baño completo., calefacion por estufa individual, Calefon nuevo .Se entrega recien pintado . No se admiten mascotas Contrato dos años., Actualizacion trimestral por IPC Garantia propietaria preferible pariente o seguro de caucion Demostrar ingresos, recibos de sueldos que tripliquen el importe del alquiler certificado de dominio y certificación de firmas a cargo inquilino ABl$ 8200.-mensual Aysa $ 20.148.- mensual Expensas $ 115.000 Comunicarse con Sandra al por Whastapp	https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--19260608	2	1	1	N/A	Muy Bueno	40	Lateral	N	N/A	0	N/A	Departamento	Alquiler	N/A	30	N/A	ARS 500.000	N/A	6	3	N/A	Muy Bueno	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARS 550.000	ARS 160.000	Gallo	900	7	Alquiler	10 años Excelente Contra Frente	Edificio tranquilo en Zona Facultades y Alto Palermo. Muy buenos medios de transporte. Monoambiente, balcon - Cocina integrada completa. - Baño completo. - Conexión p/lavarropas. - Aire frio/calor Calefón a gas NO SE ACEPTAN MASCOTAS Sofia +54 9 11 Contrato 2 años Alquiler mensual $ 550.000reajustable Expensas $ 160.000 AySA/ABL a cargo del inquilino Garantía propietaria, preferible pariente o seguro de caución Demostrar ingresos / Mes adelantado + mes de depósito / } / Informe de dominio y certificación de firmas a cargo del inquilino / Puede haber cohera en el edificio	https://www.argenprop.com/departamento-en-alquiler-en-palermo--16150814	N/A	N/A	N/A	N/A	Excelente	10	Contrafrente	N/A	N/A	Sí	N/A	Departamento	Alquiler	N/A	32	3	ARS 550.000	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
