Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
790.000 ARS,160.000 ARS,Doctor Nicolás Repetto,0,N/A,https://www.remax.com.ar/listings/caballito-alquiler-3-amb-c-fte-piso-alto-exc-est,3,2,1,N/A,N/A,N/A,contrafrente,oeste,N/A,N/A,N/A,N/A,N/A,56.4,56.4,N/A,N/A,160.000,N/A,N/A,N/A,N/A,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.050.000 ARS,180.000 ARS,CURAPALIGUE,300,N/A,https://www.remax.com.ar/listings/departamento-2-ambientes-en-alquiler-caballito,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.73,46.48,2.73,N/A,180.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.200.000 ARS,140.000 ARS,Teodoro Garcia,3100,N/A,https://www.remax.com.ar/listings/alquiler-dpto-2-amb-colegiales-terraza-luz,2,1,1,N/A,N/A,N/A,contrafrente,N/A,N/A,N/A,N/A,N/A,N/A,48.41,79.46,2.44,N/A,140.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
790 USD,206.000 ARS,José Andrés Pacheco de Melo,2000,N/A,https://www.remax.com.ar/listings/alquiler-de-2-ambientes-barrio-norte-amoblado,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.73,41.97,3.24,N/A,206.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
520.000 ARS,160.500 ARS,JUNIN,200,N/A,https://www.remax.com.ar/listings/alquiler-de-dto-ambiente-y-medio-en-balvanera-1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.89,47.36,N/A,N/A,160.500,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
800 USD,230.000 ARS,CESPEDES,2200,N/A,https://www.remax.com.ar/listings/alquiler-departamento-2-ambientes-con-balcon-3,2,1,1,1,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,43,49,6,N/A,230.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
750.000 ARS,N/A,RESERVISTAS ARGENTINOS,300,N/A,https://www.remax.com.ar/listings/ph-alquiler-en-liniers-3-ambientes-con-patio,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.73,45.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
550.000 ARS,90.000 ARS,NOGOYA,3500,N/A,https://www.remax.com.ar/listings/alquiler-depto-monoambiente-con-balcon-piso-alto,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,28.46,32,3.62,N/A,90.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
800.000 ARS,100.000 ARS,Avenida Lisandro de la Torre,1600,N/A,https://www.remax.com.ar/listings/alquiler-departamento-2-amb-c-cochera-mataderos,2,1,1,N/A,N/A,N/A,contrafrente,oeste,N/A,sí,sí,N/A,N/A,36.93,39.18,2.25,N/A,100.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
550.000 ARS,N/A,MEXICO,2400,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-zona-congreso-cochera,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.5,36.73,3.23,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.250.000 ARS,150.000 ARS,CORDOBA,3900,N/A,https://www.remax.com.ar/listings/departamento-en-alquiler-palermo-1,2,1,1,N/A,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,42.98,48.93,5.95,N/A,150.000,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
3.090.000 ARS,180.000 ARS,Avenida Raúl Scalabrini Ortiz,2500,N/A,https://www.remax.com.ar/listings/alquiler-local-comercial-palermo-rubros-varios-1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,62.52,62.52,N/A,N/A,180.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4.200.000 ARS,95.000 ARS,SANTA FE AV.,3400,N/A,https://www.remax.com.ar/listings/alquiler-local-comercial-palermo-rubros-varios,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,36,36,N/A,N/A,95.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.050.000 ARS,450.000 ARS,ESMERALDA,1000,N/A,https://www.remax.com.ar/listings/departamento-alquiler-3-amb-80-m2-cochera-baulera,3,2,1,N/A,N/A,N/A,contrafrente,N/A,N/A,sí,N/A,N/A,N/A,80,80,N/A,N/A,450.000,N/A,N/A,N/A,N/A,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2.250.000 ARS,N/A,ALVAREZ JONTE,2100,N/A,https://www.remax.com.ar/listings/casa-en-alquiler-4-ambientes,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,250,280,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
1.300.000 ARS,350.000 ARS,MORENO,900,N/A,https://www.remax.com.ar/listings/alquiler-oficina-lista-para-entrar-con-cochera,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,102,N/A,N/A,350.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
N/A,N/A,N/A,N/A,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-velez-sarfield,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450.000 ARS,85.500 ARS,MEXICO,3900,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-c-cocina-separada-en-almagro,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.71,29.71,N/A,N/A,85.500,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
480.000 ARS,105.632 ARS,SARMIENTO,1200,N/A,https://www.remax.com.ar/listings/alquiler-departamento-monoambiente-san-nicolas,1,N/A,1,N/A,N/A,N/A,interno,N/A,N/A,sí,N/A,N/A,N/A,20.48,20.48,N/A,N/A,105.632,N/A,N/A,N/A,N/A,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3.400.000 ARS,800.000 ARS,Avenida Pedro Goyena,1600,N/A,https://www.remax.com.ar/listings/alquiler-5-amb-de-categoria-c-2-cocheras-caballito,5,4,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,166,191,25,N/A,800.000,N/A,N/A,N/A,N/A,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0
1.600.000 ARS,360.000 ARS,AMENABAR,2100,N/A,https://www.remax.com.ar/listings/departamento-alquiler-4-ambientes-en-belgrano,4,3,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.54,76.54,N/A,N/A,360.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
600.000 ARS,200.000 ARS,Avenida Presidente Julio A. Roca,500,N/A,https://www.remax.com.ar/listings/alquiler-2-ambientes-en-monserrat-1,2,1,1,N/A,N/A,N/A,frente,N/A,N/A,N/A,N/A,N/A,N/A,32,32,N/A,N/A,200.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
550.000 ARS,161.000 ARS,LACARRA,100,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-apto-profesional-floresta-1,1,1,1,N/A,N/A,N/A,N/A,este,N/A,N/A,N/A,N/A,N/A,30.17,34.06,3.89,N/A,161.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
550.000 ARS,161.000 ARS,LACARRA,100,N/A,https://www.remax.com.ar/listings/alquiler-monoambiente-apto-profesional-floresta,1,1,1,N/A,N/A,N/A,N/A,este,N/A,N/A,N/A,N/A,N/A,30.17,34.06,3.89,N/A,161.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
750 USD,N/A,Pasaje Verdi,1700,N/A,https://www.remax.com.ar/listings/departamento-en-alquiler-2-ambientes-amoblado,2,1,1,1,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,N/A,82.72,89.14,2.14,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
700.000 ARS,115.000 ARS,PERU,900,N/A,https://www.remax.com.ar/listings/alquiler-en-san-telmo-2-ambientes,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46,46,N/A,N/A,115.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
