Precio;Ubicacion;Titulo;Atributos;Link
"210.000";"Juan María Gutiérrez 2500, Recoleta, Capital Federal";"Departamento Venta 4 Ambientes Baulera Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3169580106-departamento-venta-4-ambientes-baulera-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"210.000";"Juan María Gutiérrez 2500, Recoleta, Capital Federal";"Departamento Venta 4 Ambientes Baulera Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3169580106-departamento-venta-4-ambientes-baulera-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"495.000";"Avenida Callao Al 2000, Recoleta, Capital Federal";"Departamento En Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3161156620-departamento-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"495.000";"Avenida Callao Al 2000, Recoleta, Capital Federal";"Departamento En Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3161156620-departamento-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"121.000";"Avenida Juan B. Justo 3300, Villa Crespo, Capital Federal";"Venta Departamento 3 Ambientes Villa Crespo Reciclado";"";"https://departamento.mercadolibre.com.ar/MLA-3173722884-venta-departamento-3-ambientes-villa-crespo-reciclado-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"121.000";"Avenida Juan B. Justo 3300, Villa Crespo, Capital Federal";"Venta Departamento 3 Ambientes Villa Crespo Reciclado";"";"https://departamento.mercadolibre.com.ar/MLA-3173722884-venta-departamento-3-ambientes-villa-crespo-reciclado-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"173.000";"Paraguay 1100, Recoleta, Capital Federal";"Venta Dpto Edif Estilo Frances A Nuevo-ideal Turis";"";"https://departamento.mercadolibre.com.ar/MLA-3169958346-venta-dpto-edif-estilo-frances-a-nuevo-ideal-turis-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"173.000";"Paraguay 1100, Recoleta, Capital Federal";"Venta Dpto Edif Estilo Frances A Nuevo-ideal Turis";"";"https://departamento.mercadolibre.com.ar/MLA-3169958346-venta-dpto-edif-estilo-frances-a-nuevo-ideal-turis-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"315.000";"Avenida Medrano 1678, Palermo, Capital Federal";"Medrano 1678 Piso 4";"";"https://departamento.mercadolibre.com.ar/MLA-3164223742-medrano-1678-piso-4-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"315.000";"Avenida Medrano 1678, Palermo, Capital Federal";"Medrano 1678 Piso 4";"";"https://departamento.mercadolibre.com.ar/MLA-3164223742-medrano-1678-piso-4-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"175.000";"Arévalo Al 3070, Palermo, Capital Federal";"Venta Departamento 2 Ambientes Con Terraza Propia Palermo Amenities";"";"https://departamento.mercadolibre.com.ar/MLA-1740998819-venta-departamento-2-ambientes-con-terraza-propia-palermo-amenities-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"175.000";"Arévalo Al 3070, Palermo, Capital Federal";"Venta Departamento 2 Ambientes Con Terraza Propia Palermo Amenities";"";"https://departamento.mercadolibre.com.ar/MLA-1740998819-venta-departamento-2-ambientes-con-terraza-propia-palermo-amenities-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"83.000";"Larrea 1000, Recoleta, Capital Federal";"Departamento Venta Monoambiente Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3169276784-departamento-venta-monoambiente-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"83.000";"Larrea 1000, Recoleta, Capital Federal";"Departamento Venta Monoambiente Recoleta";"";"https://departamento.mercadolibre.com.ar/MLA-3169276784-departamento-venta-monoambiente-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
"169.000";"Paso 700, Balvanera, Capital Federal";"Semipiso. 4 Ambientes. Dependencia. Frente. Balcon. Baulera. Apto Credito.";"";"https://departamento.mercadolibre.com.ar/MLA-3159787670-semipiso-4-ambientes-dependencia-frente-balcon-baulera-apto-credito-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=f3f3eada-3a82-4f20-9fad-056305d2f5a1&price_drop=not_apply"
