Precio,Ubicacion,Titulo,Atributos,Link,Descripcion_Larga,Precio_Num,m2,Ambientes,Dormitorios,Baños,Tiene_Cochera,Tiene_Balcon,Tiene_Terraza,Tiene_Lavadero,Smart_Amenities,Smart_Seguridad,Smart_Luminoso,A_Refaccionar,Precio_m2,Barrio
49.0,"Sarmiento 1169, San Nicolás, Capital Federal",Venta. Depto 2 Amb. Zona Obelisco. Apto Credito Y Profes.,,https://departamento.mercadolibre.com.ar/MLA-1735372111-venta-depto-2-amb-zona-obelisco-apto-credito-y-profes-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento de dos ambientes con una ubicación estratégica en Buenos Aires. En segundo piso con ascensor. Ingreso por living comedor. Cocina independiente con ventilación natural, funciona 100% eléctrico y no cuenta con gas. Dormitorio muy amplio con placard empotrado y ventana para buena ventilación. Baño completo en suite con bañera. Información adicional: Bajas expensas. Actualmente habitado, con reubicación. Pisos de parquet en living comedor y en dormitorio. Disposición interior. Ubicación estratégica. A 2 cuadras del obelisco, a 2 cuadras de Av. Corrientes. A 1 cuadra de Av. 9 de Julio. Metrobus a 2 cuadras, y a 3 cuadras de subte estación Diagonal Norte. Apto crédito, apto profesional, apto vivienda. Ideal airbnb o consultorio profesional.

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com.Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP500393 - KPT040819 - 
 -  Publicado usando KiteProp CRM Inmobiliario",49000,,,,1,0,0,0,0.0,0,0.0,0.0,0,,San Nicolás
62.0,"Beruti 2877, Recoleta, Capital Federal",Departamento 2 Ambientes En Recoleta,,https://departamento.mercadolibre.com.ar/MLA-3153577634-departamento-2-ambientes-en-recoleta-_JM#polycard_client=search-desktop&search_layout=grid&position=2&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento 2 ambientes en Recoleta.
Ideal para quienes buscan practicidad y una ubicación privilegiada. Este funcional 2 ambientes ofrece 25 m2 totales, con 1 dormitorio y 1 baño completo, ubicado en el 3 piso de un edificio de 5 niveles. Construcción sólida de 1950, con el encanto clásico de la zona y ambientes bien aprovechados.

La orientación y disposición aportan luz natural durante el día. Perfecto para primera vivienda, estudiantes o inversión con excelente demanda en uno de los barrios más buscados de la ciudad.

Si buscás moverte a pie o en transporte público, este departamento te acerca a todo lo que necesitás: gastronomía, cultura, universidades, hospitales y servicios a pocos minutos. Una oportunidad para entrar a Recoleta con una propuesta práctica y bien ubicada.

Consultanos para más info y coordiná tu visita!

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP500745 - KPT040811 - 
 -  Publicado usando KiteProp CRM Inmobiliario",62000,25,2,1,1,0,0,0,0.0,0,0.0,0.0,0,2480.0,Recoleta
50.0,"Yerbal 600, Caballito, Capital Federal",Dos Ambientes Con Patio - Caballito,,https://departamento.mercadolibre.com.ar/MLA-1736334249-dos-ambientes-con-patio-caballito-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento de dos ambientes. Living comedor con cocina integrada y salida a un pequeño patio. Dormitorio y baño completo. 

Expensas $98.000 

A 100 Mts de Av. Rivadavia y a 400 Mts. del Parque Rivadavia, con una excelente conectividad y ágiles medios de transporte y servicios en el barrio de Caballito. Accesible: Sí (Ley 5.115).

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com.
Accedé a una financiación privada por hasta el 35% del valor de esta propiedad. Consultá bases y condiciones en Innova Hipotecaria. 

- KP500718 - KPT040819 - 
 -  Publicado usando KiteProp CRM Inmobiliario",50000,100,,,1,0,0,1,0.0,0,0.0,0.0,0,500.0,Caballito
100.0,"Charcas 2900, Recoleta, Capital Federal","Venta. Apto Credito, Dpto 3 Ambientes, C/ Baulera. Recoleta. Excelente Ubicación",,https://departamento.mercadolibre.com.ar/MLA-1736382783-venta-apto-credito-dpto-3-ambientes-c-baulera-recoleta-excelente-ubicacion-_JM#polycard_client=search-desktop&search_layout=grid&position=4&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Hermoso departamento de 3 ambientes, contrafrente, lo que garantiza tranquilidad, silencio y buena iluminación natural durante todo el día. Cuenta con un living comedor amplio con ventanales, dos dormitorios con placard, baño completo en excelente estado y cocina independiente con lavadero. 
La distribución es funcional y cómoda, también cuenta con baulera. Está ubicado en una de las zonas más buscadas de Recoleta, ideal para quienes buscan vivir en un entorno urbano sin resignar paz y confort. Acceso y Cercanía a medios de transporte, Av. Santa Fe, y línea de Subte D y H. Apto Crédito.

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP500724 - KPT040819 - 
 -  Publicado usando KiteProp CRM Inmobiliario",100000,,3,,1,0,0,0,1.0,0,0.0,0.0,0,,Recoleta
58.9,"Av La Plata 300, Caballito, Capital Federal","Departamento En Venta Caballito Con Patio, Capital Federal, Buenos Aires",,https://departamento.mercadolibre.com.ar/MLA-3159440938-departamento-en-venta-caballito-con-patio-capital-federal-buenos-aires-_JM#polycard_client=search-desktop&search_layout=grid&position=5&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"VENTA Departamento en primer piso interno Apto profesional, con patio , Living , cocina, habitación con amplio placard, baño completo. Él inmueble se encuentra en el barrio de Caballito, limite Almagro, a metros del Parque Rivadavia, Cinemark, medios de transporte. Rodeado de colegios, comercios, y con todos los medios de transporte.

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com.
Accedé a una financiación privada por hasta el 35% del valor de esta propiedad. Consultá bases y condiciones en Innova Hipotecaria. 

- KP501247 - KPT040922 - 
 -  Publicado usando KiteProp CRM Inmobiliario",589000,,,,1,0,0,1,0.0,0,0.0,0.0,0,,Caballito
65.0,"La Pampa 2500, Belgrano R, Capital Federal",Venta. Departamento 2 Ambientes. Apto Crédito. Belgrano R,,https://departamento.mercadolibre.com.ar/MLA-3154243030-venta-departamento-2-ambientes-apto-credito-belgrano-r-_JM#polycard_client=search-desktop&search_layout=grid&position=6&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento de 2 ambientes con excelente distribución, ubicado en disposición interna que brinda tranquilidad y privacidad. 
Cuenta con 1 baño completo y una superficie total de 31 m2, aprovechados de manera funcional. 
Se encuentra en un edificio de sólida construcción con 50 años de antiguedad. Situado en una ubicación privilegiada del barrio Belgrano R, rodeado de espacios verdes, medios de transporte y servicios, ideal para quienes buscan comodidad y calidad de vida.
Apto crédito y apto profesional.

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP500835 - KPT040819 - 
 -  Publicado usando KiteProp CRM Inmobiliario",65000,31,2,,1,0,0,0,0.0,0,0.0,0.0,0,20.967.741.935.483.800,Belgrano R
89.0,"Alejandro Magariños Cervantes 1900, Villa Gral. Mitre, Capital Federal",Venta Departamento Dos Ambientes,,https://departamento.mercadolibre.com.ar/MLA-1735699093-venta-departamento-dos-ambientes-_JM#polycard_client=search-desktop&search_layout=grid&position=7&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento Dos Ambientes. Ingreso Living/Comedor con Cocina Integrada con salida al Patio. Pasillo Distribuidor. Baño. Dormitorio. El edificio cuenta con Dos SUM, Una Parrilla, Pileta, Solárium. Sala de Laundry. Plaza Blanda. No tiene Encargado -Hay empresa de limpieza-.El departamento está ubicado a pocas cuadras de las Av. Juan B. Justo y Av. Donato Álvarez, por la ubicación de la propiedad tiene varias líneas de colectivos cercano (34, 44, 47, 63, 109, 110, 113, 133, 135, 166). Accesible: Si (Ley 5.115).

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP444077 - KPT041003 - 
 -  Publicado usando KiteProp CRM Inmobiliario",89000,,,,1,0,0,1,0.0,1,0.0,1.0,0,,Villa Gral. Mitre
68.0,"Virrey Loreto Al 2500, Belgrano, Capital Federal",Venta Departamento 1 Dormitorio En Belgrano Con Terraza,,https://departamento.mercadolibre.com.ar/MLA-1736216919-venta-departamento-1-dormitorio-en-belgrano-con-terraza-_JM#polycard_client=search-desktop&search_layout=grid&position=8&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"ATENCION INVERSORES
PERFECTO COMO ESTUDIO, VIVIENDA O INVERSION 
IDEAL PARA ALQUILER, ALTA DEMANDA EN ZONA 
EXCELENTE UBICACION
EDIFICIO MUY BIEN MANTENIDO 
ACCESO A TERRAZA CON SOL
DEPARTAMENTO MUY SILENCIOSO
DIVISIBLE Y CON BAñO COMPLETO CON VENTILACION NATURAL
COCINA INDEPENDIENTE CON GRAN VENTANA 
GRAN LUGAR DE GUARDADO
SERVICIOS DE GAS Y ELECTRICIDAD 
32 METROS TOTALES 

Todas las operaciones son a cargo del Martillero y Corredor Público Inmobiliario responsable: Gustavo De Simone CUCICBA 8456 / CMCPSI 6661.

La información y medidas provistas son aproximadas y deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra Empresa. Los Gastos expresados (expensas, ABLl, etc.) se refieren a la última información recabada y deberán confirmarse. Las fotografías no vinculantes ni contractuales.

En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25.028, Ley 22.802 de Lealtad Comercial, Ley 24.240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los Brokers NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del Corredor Público Inmobiliario colegiado, cuyos datos se exhiben en cada publicación de propiedad objeto de comercialización.",68000,32,,,1,0,0,1,0.0,1,0.0,1.0,0,2125.0,Belgrano
80.0,"Aguirre 50, Villa Crespo, Capital Federal",Aguirre 50,,https://departamento.mercadolibre.com.ar/MLA-1737984245-aguirre-50-_JM#polycard_client=search-desktop&search_layout=grid&position=9&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"Departamento de 3 ambientes a refaccionar en 7 piso al lateral.

Living con pequeño balcón.
Dos habitaciones con armarios y vista al frente, orientación este.
Cocina independiente y lavadero separado.
Baño completo. 

Edificio con seguridad y varios ascensores.

Sobre Aguirre 50, cerca del subte B y del Hospital Italiano, el limite de Villa Crespo y Almagro.

Toda la información del aviso, incluyendo medidas, precio, impuestos, servicios, etc. son estimativos, sujetos a modificación y no vinculantes, según lo dispuesto en el art. 973, Cód. Civ. y Com. 

- KP501282 - KPT040922 - 
 -  Publicado usando KiteProp CRM Inmobiliario",80000,,3,,1,0,1,0,1.0,0,1.0,0.0,1,,Villa Crespo
99.9,"Humberto Primo 986, San Telmo, Capital Federal",Venta Departamento 4 Ambientes San Telmo,,https://departamento.mercadolibre.com.ar/MLA-1736315729-venta-departamento-4-ambientes-san-telmo-_JM#polycard_client=search-desktop&search_layout=grid&position=10&type=item&float_highlight=recent_publication&tracking_id=91a3f80c-fe52-49fc-ba5d-c07efdaec703&price_drop=not_apply,"VENTA DEPARTAMENTO 4 AMBIENTES SAN TELMO

Venta departamento de 4 ambientes en 6 piso, ubicado sobre Humberto 1, completamente reciclado a nuevo, con vista abierta a Av. 9 de Julio y excelente luminosidad durante todo el día.
La unidad cuenta con living comedor, tres dormitorios con placard, baño completo y toilette, y se destaca por su ventilación cruzada y ambientes amplios.

Características principales:
-Refaccionado a nuevo (pisos, cocina, baños y pintura).
-Vista abierta y muy luminoso.
-Ventilación cruzada.
-3 dormitorios.
-Baño completo + toilette.
-Terraza de uso común.

Ubicación:
-Ubicación estratégica en San Telmo, con excelente conectividad, cercanía a avenidas principales, subte y múltiples líneas de colectivo, con rápido acceso al centro y distintos puntos de la ciudad.

Ideal para familia o inversión, listo para habitar.

Contáctanos para coordinar una visita.

MARTING INMOBILIARIA
MATRíCULA CUCICBA No 5051",999000,,4,3,1,0,0,1,0.0,0,0.0,1.0,0,,San Telmo
